29,"Dear Friends and Colleagues,
We hope that you and your loved ones are well and staying safe in these uncertain times. I am writing to update you with our thoughts and plans for this year＊s CogX.
The outbreak of COVID-19 has transformed our day-to-day lives as we knew them. All of us have been personally affected, whether by uncertainty or loss, and we are mindful that the weeks and months ahead will continue to present major challenges to us all. Our thoughts are first and foremost with those who are suffering.
Although we have never seen a crisis like this before, it is encouraging to witness communities come together in ways we previously never thought possible.
I want to reassure you of our commitment to the well-being of our community. Your health and safety are of paramount importance to the whole CogX team.
With that said, we strongly believe with the right approach, CogX will be a powerful catalyst to help transform business, government and society. We believe in the power of convening people, whether virtually or in person. And we believe that connecting people helps inspire creativity, drive innovations that improve our quality of life, and to help fully realise human potential.
CogX Going Ahead June 8th to 10th
As I write this, not only are we being impacted by the unprecedented health emergency, but stand at the onset of what will likely be a painful economic recession.
While a number of events have been moved to September, which we understand and support, we believe this makes it even more important than ever that we all convene for CogX in June. There are important, and in some cases urgent, topics to discuss: both the immediate challenges presented by COVID-19, and to play our part in helping restart the economy by connecting, collaborating and supporting each other.
It＊s for this reason that this year＊s CogX will proceed as planned between Monday June 8th _ Wednesday 10th, albeit with some changes to our original thinking. There are three new elements: Virtual CogX, an updated Health agenda, and the Global Leadership Summit _ connecting global leadership with technology expertise and the public at scale.
2020 Theme _ How Do We Get the Next 10 Years Right?
Our fourth edition aims to be our biggest, most inclusive and forward-thinking gathering of leaders, CEOs, entrepreneurs, policy makers, artists, academics and activists to date.
This year we are asking the question, ※How do we get the next 10 years right?§. Our aims are to:
_ Move the conversation forward with concrete actions
_ Inspire current and future generations of leaders
_ Help reframe the climate emergency as the biggest economic opportunity in the last 200 years
_ Help increase understanding of the current Covid-19 pandemic and champion innovative solutions
CogX 2020＊s agenda will achieve these aims by offering the very latest thinking from the brightest minds on the planet across industry, government and academia in 18 parallel topics including:
Leadership
The Cutting Edge
Lab to Live _ Case Studies
Ethics & Society
The Economy and the Future of Work
The HR and Ed Tech Revolution
The Planet and Smart-Cities
Space
Innovation: Start-up to Scale Up to IPO and Beyond
Createch _ Culture, Creativity and Technology
Health, Wellbeing & COVID-19
Research _ The Long View
Web 3.0 & Decentralisation
Gen Z
FinTech & Future of Financial Services
Industry 4.0 and Sustainable Supply Chains
Next Gen Infrastructure & Cloud Services
Cyber and Defence
Do let us know if you are interested in partnering on any one of these.
CogX is Going Virtual
Necessity is teaching the world how to work remotely and interact through technology right now and we see this as a moment for embracing the opportunities technology gives us to connect. The more we thought about it, the more it seemed imperative to open CogX up and ensure that people are able to take part regardless of where they are in the world.
We are creating a comprehensive Virtual CogX experience for you that aims to set the standard for what a digital event should be. All of our team＊s efforts, creativity, and attention to detail will be focused on making sure everything works perfectly and we can＊t wait for you to experience it.
All 16 topics will be streamed online, and the Virtual format will also include virtual meet-the-speaker breakout Q&A sessions where attendees will be able to put their questions directly to our world-leading experts.
We will host an interactive vExpo, virtual start-up village, and brand new side events tailored to all kinds of specific interests such as roundtables and workshops delivered by our partners.
And it wouldn＊t be CogX if you didn＊t make brilliant new connections. Our world-class app and new meeting maker service will be powering three days of networking, which will enable all participants to reconnect with people they know, and build completely new relationships.
We are all really excited about how this new format will make CogX accessible to a much bigger, national and global audience, and for the first time instantly jump from one topic to another as you explore and seek out the best sessions for you at any moment in time.
Updated Health Agenda
Anyone who has previously attended CogX will know that our Health programme is one of our strongest tracks. We first introduced a dedicated health stage in 2018 with extraordinary speakers such as Matthew Gould (CEO of NHSX), Mary Lou Jepsen (CEO & Founder, Openwater) and the Secretary of State for Health, Matt Hancock, who has spoken at all three previous editions of CogX.
With this global health emergency, we are more conscious than ever of the need to facilitate conversations that will drive us forward. It is a time to work together to explore what technology and policies will make a difference, and get behind them.
As such our Health agenda will be updated to have a clear focus on the critical and urgent issues surrounding the global COVID-19 pandemic: the lessons learned, challenges ahead, opportunities to reduce suffering and save lives, what solutions are available and what＊s coming next.
The Global Leadership Summit 
At times like these, leadership matters more than ever.
In its founding year, 2017, CogX＊s mission was bringing clarity to the complex world of AI, accelerating adoption while ensuring safe and responsible deployment and that the benefits flow through to us all. Over the last three years we have grown exponentially and expanded in scope beyond AI to Web 3.0, breakthrough technologies from plastics to genetics, and to the UN Sustainable Development Goals. And this year we are expanding our scope again.
The idea behind the Global Leadership Summit emerged when we first began planning this year＊s event and settled on a core theme: ＆How can we get the next 10 years right?§. It seemed important then, but it＊s clearly more poignant now than ever.
The Summit will run concurrently with the main CogX agenda bringing together over 4,500 of leaders around a programme of online virtual activities including: the Leaders Lounge for peer networking, Chatham House Rule talks, exclusive side events, executive workshops and our new appointment setting concierge service. To make the most of their time at CogX, our team can optionally upgrade and have our meetings team pre-organise meetings before the event.
Physical Event has been cancelled for June, 2020
We strongly felt that if it is possible to hold an event then we should, however, following the UK government＊s current advice, our physical event has been cancelled for June, 2020. CogX will run in June as fully virtual.
Tickets
We have a range of options fit for any need ranging from ㏒45 to ㏒4995. You can find out more about ticket types and prices at: https://cogx.co/tickets/.
Opportunities for you to get involved for 2020:
_ 1,000 Complimentary Festival Passes _ From now until April 6th, we are offering 1,000 free standard Festival passes, normally ㏒295. You can upgrade this pass at a later date and benefit from a ㏒295 discount on any other pass.
_ Passes for Health Workers _ I＊m proud to confirm that we are providing up to 10,000 complimentary Topic Priority passes for public health workers from any country across the globe, as well 75% off any other pass.
_ Startups, Academics and Government _ As always we are committed to subsidising passes for the Founders and CEOs of Startups, Government, Academics and NGOs _ we think it＊s important you＊re part of the conversation.
_ Speaking Opportunities and Awards _ We are still taking submissions, so don＊t miss the chance to submit now.
_ Sponsoring, Exhibiting and Partnering _ Finally, if you are interested in becoming part of CogX, whether it is for a specific topic, the virtual expo, side event or product launch _ we would love to help you achieve your goals. There are limited places left, so please get in touch as soon as possible.
If you would like to get involved, please do not hesitate to get in touch:
_ vExpo, sponsoring, or partnering: sponsorship@cognitionx.io
_ Global Leadership Summit: GLS@cognitionx.io
_ Press: press@cognitionx.io
_ Other: cogx@cognitionx.io
We very much look forward to welcoming you and your team to CogX, June 2020. If there is anything we can do to support you and your business in the coming weeks, please lean in and let us know.

Best,
Charlie
Founder & CEO
CogX Festival (www.CogX.co)
CognitionX Knowledge Platform (www.CognitionX.com)
                            ",,
30,"If you would like to become a Sponsor or Partner, we＊d love to hear from you. Let us know how we can bring your organisation to life at CogX or contact sponsorship@cognitionx.io",,
31,"Sir Chris  Pissarides
Regius Professor & Co-chair
Institute for the Future of Work

Anima Anandkumar
Director of ML Research
Nvidia

Joe Baguley
VP & CTO, EMEA
VMware

Jo Bamford
Chairman
Wrightbus

David Barber
Professor of Machine Learning
UCL

Jamie Bartlett
Author
People vs. Tech

Ivana Bartoletti
Technical Director
Deloitte LLP

Iggy Bassi
CEO & Founder
Cervest

Alex Beard
Senior Director, Global Learning Lab
Teach for All

Philippe Beaudoin
Co-Founder
Element AI

Heba Bevan
CEO and Founder
Utterberry

Grace Cassy
CyLon

Divya Chander
Faculty Chair Neuroscience
Singularity University

Vishal Chatrath
CEO & Co-Founder
PROWLER.io

Tessa Clarke
OLIO

Paul  Clarke
CTO
Ocado

Naomi  Climer
Co-chair

Andrew Cohen
Executive Chairman
J.P. Morgan Global Wealth Management

Rachel Coldicutt
Responsible technologist

Lily Cole
Who Cares Wins: Reasons For Optimism in Our Changing World

Diana  Coyle
Bennett Professor of Public Policy
University of Cambridge

Luis Cuende
Aragon

Lisa Dale-Clough
Senior Policy Manager
Transport for Greater Manchester

Tim Davie
CEO
BBC Studios

Tim Draper
Founder
Draper Associates

Lilian Edwards
Professor of Law, Innovation & Society, Newcastle Law School
Newcastle University

Mona El Isa
Founder & CEO
Avantgarde

Claire Enders
Enders Analysis

Tony Fadell
Pod inventor, iPhone co-inventor, Nest founder, Future Shape principal

Anthony Finkelstein
Chief Scientific Advisor for National Security
HM Government

Stephen Fitzpatrick
OVO Energy

Cherry Freeman
Co-Founding Partner
Hiro Capital

Hannah Fry
Author, Hello World: How to Be Human in the Age of the Machine

Ben Goertzel
SingularityNET

Jane Goodall
The Jane Goodall Institute

Matthew Gould
NHSX

Dr. Charmaine Griffiths
British Health Foundation

Priya Guha
Venture Partner
Merian Ventures

Ravi Gurumurthy
Nesta

Joanna Haigh
Co-director The Grantham Institute on Climate Change and the Environment
Imperial College London

Derek Haoyang Li
Founder & Chairman
Squirrel AI Learning by Yixue Group

Sabine Hauert
President & Co-Founder
Robohub

Margaret Heffernan
Author, Uncharted: How to Map the Future

Joel Hellermark
Sana Labs

Emil Hewage
Bios

Caroline Hjelm
CMO
VOI Technology

Brent Hoberman
Executive Chairman & Co-Founder
Founders Factory

Anne-Marie  Imafidon
Founder, Trustee

Steen Jakobsen
Chief Investment Officer
Saxo Bank

Alan Karthikesalingam
Research Lead
Google Health UK

Husayn Kassai
Onfido

John F. Kerry
68th US Secretary of State

Carly Kind
Director
Ada Lovelace Institute

Lauren Kisser
Director, Alexa Info International
Amazon

Priya Lakhani
Century

David Lane
Founder, Director, Professor
Edinburgh Centre for Robotics

Baroness Martha Lane Fox
Founder & Executive Chair
Doteveryone

Rose Luckin
UCL EDUCATE

Mike Lynch
Invoke Capital

Juergen Maier
Chair of the Board
Digital Catapult

Nicola Mendelsohn CBE
Vice President, Facebook EMEA
Facebook

Dr Katy Milne
Chief Engineer
Manufacturing Technology Centre

Helen  Mountfield, QC
Principal, Mansfield College
University of Oxford

Carina Namih
General Partner
Episode 1 Ventures

Alice Newcombe-Ellis
Founding & Managing Partner
Ahren Innovation Capital

Claire Novorol
Co-Founder & Chief Medical Officer
Ada Health

Andrew  Pakes
Director of Communications & Research
Prospect Union

Kathryn Parsons
Decoded

Joanna Popper
Global Head of Virtual Reality for Location Based Entertainment
HP

Samantha Power
Former US Ambassador to the UN

Aza Raskin
Earth Species Project

Tom Rivett-Carnac
Global Optimism

Stuart Russell
Professor of Computer Science
UC Berkeley

Lea  Schmidt
Product Partnerships
Centrifuge

Anita Sengupta
Professor of Astronautics
University of Southern California

Harjot Singh
Chief Strategy Officer EMEA
McCann Worldgroup

Arwen Smit
Author, Identity Reboot

Tim Spector
Head of Department of Twin Research & Genetic Epidemiology
King's College London

Martha Spurrier
Liberty

Yancey Strickler
Author, This Could Be Our Future: A Manifesto for a More Generous World

Mariarosaria Taddeo
Senior Research Fellow, Deputy Director | Digital Ethics Lab, Oxford Internet Institute

Roger Taylor
Chair of the Centre for Data Ethics and Innovation
Centre for Data Ethics & Innovation

Anna Thomas
Co-founder & Director

Michael Veale
Lecturer in Digital Rights & Regulation, Faculty of Laws

Beatie Wolfe
Musician and Artist

Bryony Worthington
Executive Director
Environmental Defense Fund Europe

Hideki Yoshimoto
Founder & Director
Tangent

Niklas Zennstr_m
CEO & Founding Partner
Atomico",,
32,Regius Professor & Co-chair Institute for the Future of Work,,
33,Director of ML Research Nvidia,,
34,"VP & CTO, EMEA VMware",,
35,Chairman Wrightbus,,
36,Professor of Machine Learning UCL,,
37,Author People vs. Tech,,
38,Technical Director Deloitte LLP,,
39,CEO & Founder Cervest,,
40,"Senior Director, Global Learning Lab Teach for All",,
41,Co-Founder Element AI,,
42,CEO and Founder Utterberry,,
43,CyLon ,,
44,Faculty Chair Neuroscience Singularity University,,
45,CEO & Co-Founder PROWLER.io,,
46,OLIO ,,
47,CTO Ocado,,
48,Co-chair ,,
49,Executive Chairman J.P. Morgan Global Wealth Management,,
50,Responsible technologist ,,
51,Who Cares Wins: Reasons For Optimism in Our Changing World ,,
52,Bennett Professor of Public Policy University of Cambridge,,
53,Aragon ,,
54,Senior Policy Manager Transport for Greater Manchester,,
55,CEO BBC Studios,,
56,Founder Draper Associates,,
57,"Professor of Law, Innovation & Society, Newcastle Law School Newcastle University",,
58,Founder & CEO Avantgarde,,
59,Enders Analysis ,,
60,"Pod inventor, iPhone co-inventor, Nest founder, Future Shape principal ",,
61,Chief Scientific Advisor for National Security HM Government,,
62,OVO Energy ,,
63,Co-Founding Partner Hiro Capital,,
64,"Author, Hello World: How to Be Human in the Age of the Machine ",,
65,SingularityNET ,,
66,The Jane Goodall Institute ,,
67,NHSX ,,
68,British Health Foundation ,,
69,Venture Partner Merian Ventures,,
70,Nesta ,,
71,Co-director The Grantham Institute on Climate Change and the Environment Imperial College London,,
72,Founder & Chairman Squirrel AI Learning by Yixue Group,,
73,President & Co-Founder Robohub,,
74,"Author, Uncharted: How to Map the Future ",,
75,Sana Labs ,,
76,Bios ,,
77,CMO VOI Technology,,
78,Executive Chairman & Co-Founder Founders Factory,,
79,"Founder, Trustee ",,
80,Chief Investment Officer Saxo Bank,,
81,Research Lead Google Health UK,,
82,Onfido ,,
83,68th US Secretary of State ,,
84,Director Ada Lovelace Institute,,
85,"Director, Alexa Info International Amazon",,
86,Century ,,
87,"Founder, Director, Professor Edinburgh Centre for Robotics",,
88,Founder & Executive Chair Doteveryone,,
89,UCL EDUCATE ,,
90,Invoke Capital ,,
91,Chair of the Board Digital Catapult,,
92,"Vice President, Facebook EMEA Facebook",,
93,Chief Engineer Manufacturing Technology Centre,,
94,"Principal, Mansfield College University of Oxford",,
95,General Partner Episode 1 Ventures,,
96,Founding & Managing Partner Ahren Innovation Capital,,
97,Co-Founder & Chief Medical Officer Ada Health,,
98,Director of Communications & Research Prospect Union,,
99,Decoded ,,
100,Global Head of Virtual Reality for Location Based Entertainment HP,,
101,Former US Ambassador to the UN ,,
102,Earth Species Project ,,
103,Global Optimism ,,
104,Professor of Computer Science UC Berkeley,,
105,Product Partnerships Centrifuge,,
106,Professor of Astronautics University of Southern California,,
107,Chief Strategy Officer EMEA McCann Worldgroup,,
108,"Author, Identity Reboot ",,
109,Head of Department of Twin Research & Genetic Epidemiology King's College London,,
110,Liberty ,,
111,"Author, This Could Be Our Future: A Manifesto for a More Generous World ",,
112,"Senior Research Fellow, Deputy Director | Digital Ethics Lab, Oxford Internet Institute ",,
113,Chair of the Centre for Data Ethics and Innovation Centre for Data Ethics & Innovation,,
114,Co-founder & Director ,,
115,"Lecturer in Digital Rights & Regulation, Faculty of Laws ",,
116,Musician and Artist ,,
117,Executive Director Environmental Defense Fund Europe,,
118,Founder & Director Tangent,,
119,CEO & Founding Partner Atomico,,
120,"Meet global Leaders and decision makers across; Enterprise, Startups, Government, Academia to Investors",,
121,"CogX 2020 is set to attract30,000 visitors_nd600+ speakers_cross the three day event, we will be exploring; planet, ethics, future of work, health, culture and well being, industry and sustainable supply chain, lab to live and research.This year CogX has a greater focus on global societal issues which will bring together4000 global leaders_rom Government, industry and society to discuss the most important conversations of our time at The CogX Global Leadership Summit:_ow to get the next 10 years right for a sustainable future?
The fourth edition of the award-winning CogX event will include two new elements _ Virtual CogX and the Global Leadership Summit __hat will make it the biggest, most inclusive and comprehensive interactive online event experience of its kind.
Virtual CogX has been developed to deliver a best-in-class digital experience. Covering all 16 tracks of content, virtual meet-the-speaker breakout sessions, the vExpo and startup village, invite-only side events, roundtables, affiliate partner workshops and speed networking for each vertical, Virtual CogX aims to set the standard. Participants will be able to take part regardless of where they are in the world, making CogX accessible to a much bigger national, and global, audience.
The CogX Global Leadership Summit will also be accessible as a virtual event connecting 4,500 global leaders to move the conversation forward with concrete actions, to inspire future and current generations of leaders, help reframe the climate emergency as the biggest economic opportunity of the last 200 years.
In addition, the CogX Health track will have a deep focus on the critical and urgent issues surrounding the global COVID-19 pandemic: the lessons learned, challenges ahead, opportunities to reduce suffering and save lives, and what solutions are available.
                      ",,
122,"CogX has come along way in just 3 years from 1,500 visitors in 2017 to 20,000 visitors in 2019, the event＊s success speaks for itself with 2020 being no exception.",,
123,"As you know, CogX_s the world＊s biggest, most inclusive and forward-thinking gathering of Leaders, CEOs, Entrepreneurs, Academics and Activists asking the question: how do we get the next 10 years right? We are expecting 30,000+ virtual visitors this year across our 18 stages and 100 side events.
The festival is not possible without our incredible group of people to deliver the event over the years and we are keen to involve you as we navigate the virtual scene.
We are looking for an amazing group of tech savvy and energetic individuals to help us pull off the biggest virtual gathering and ensure the smooth running of the festival. If you are interested in being a part of the team then please fill out this very short form.
Looking forward to (virtually) meeting you all and welcoming you to the team!
If you have any questions, please get in touch with the CogX team by sending us an email.",,
124,"We＊re always keen to hear from passionate and interesting people who would love to be involved in the festival.
Deadline for submissions: 15th May 2020.
If you＊d like to get more involved at CogX, please get in touch at cogx@cognitionx.io",,
125,"From AI to Global Leadership, from Financial Services to Climate Change and from GenZ to Covid-19, CogX Awards celebrates and recognises the most outstanding contributions of the last 12 months._his year we are back for our 4th CogX Awards where we will look at the most exciting celebration of innovation and transformational opportunities in the world and recognise the companies and individuals making the biggest impact and delivery._ated as one of the highlights of the CogX experience in 2019 by attendees, we are beyond confident this year is no exception.Winners will be announced during the CogX Festival in June.",,
126,"Nominations close on 25th May, 2020If you have any queries, get in touch by emailing us at awards@cognitionx.io",,
127,"Best COVID-19 Innovation
Recognising Leadership
Best AI Product
Best Innovation & Product
Outstanding Achievements & Research Contributions_
Global Goals",,
128,"Since the COVID-19 crisis started there has been a hive of activity on the innovation front. Many new ideas and startups are colliding to help protect and predict the ways we can handle these types of crisis. We are working with Miles Kirby to highlight and provide exposure for companies that are working to provide solutions to the myriad of societal issues that the COVID-19 virus raises.We will be putting a spotlight on some of the most unique and ingenious collaborations and ideas across technology for health, technology for society and recovery. The top companies will be presenting at CogX on June 8-10th and the winners crowned. This award is split into three areas:Best COVID-19 Innovation for Health, Best COVID-19 Innovation for Society, Best COVID-19 Innovation for Recovery. Ask me if you want to know details.",,
129,"Awarded in recognition of the organisation that best exemplifies how technology and innovation can help track health and treatment, thereby accelerating scientific progress in response to the COVID-19 outbreak",,
130,"Awarded in recognition of the organisation that, in response to the COVID-19 outbreak, best exemplifies how technology can help drive positive social and environmental outcomes, thereby improving the social effects of the pandemic. This might include ensuring that we stay connected and informed, or providing a platform through which the more fortunate are able to help those in need.",,
131,"Awarded in recognition of the organisation that, in response to the COVID-19 outbreak, best exemplifies how technology can help understand and reduce the effects of the pandemic, thereby accelerate economic, or health-related recovery for those who have been directly and indirectly affected",,
132,"Divided into 13 kinds:
CogX Global Leadership Award
Rising Star in Tech
CognitionX Outstanding Knowledge Expert 
People's Choice - Tech Innovation
People's Choice - Tech Community Leader
Outstanding Diversity Leader in AI
Enterprise CXO Leader of the Year Award
Outstanding Investor in AI
Lifetime Achievement Award
Outstanding Leader in Accessibility
Voice of GenZ
Sustainable Cities and Communities Leadership Award
Gender Equality Leader

Ask me if you want to know details of one of them.",,
133,"This award recognises the individual who has driven tremendous positive impact at a global scale through the adoption, creation or regulation of tech. As the central theme of this year＊s festival is ※How do we get the next 10 years right?§ this award goes to the the individual contributing the most to ensuring we are getting the next 10 years right",,
134,To the starter company that has the potential to disrupt any billion dollar industry by coming up with groundbreaking technologies and reaching out to customers effectively.,,
135,"In times like these, we look to experts for guidance. Be it in business, government or medicine, these are the people that lay the foundations of society＊s trust in our institutions. With this award, we highlight an individual who has contributed the most to Cognition X＊s Knowledge Platform with outstanding knowledge in their subject area and the number of questions answered.",,
136,"With each passing innovation and transformation, tech continues to broaden the possibilities of our work and social lives. This award, voted on by members of our community, recognises an individual or company that stands out among their peers as the key innovator for 2020.",,
137,"As a proud member of the tech community, we want to promote solidarity and celebrate our peers for their incredible work this year. Through the People＊s Choice award, we recognise one such member of the tech community who has helped develop and revolutionise the way tech affects people＊s lives.",,
138,"To develop technology that truly works for everyone, we must confront the continuing racial bias in our human societies. This award recognises tremendous help towards overcoming biases and making fairer decisions thereby building a more inclusive environment.",,
139,"Enterprise leaders carry a great responsibility to shape a company＊s social values, ethical consciousness and profitability for the sake of both its customers and employees. With this award, we want to recognise the outstanding leadership of CEO＊s/CTO＊s/CDO＊s/CIO＊s/ CHRO＊s in driving development across various fields of finance, technology, business development, human resources, information technology.",,
140,"For believing in AI to be the most disruptive phenomena that all industries would experience and investing in it. Thereby producing better products and services, boosting businesses.",,
141,"This award celebrates the contributions of a key player in the tech field, who has shown sustained commitment to responsible and cutting edge innovation, as well as mentorship and leadership within the community. They have distinguished themselves through their outstanding research calibre and a lifetime of scientific excellence, making magnificent contributions to the world of AI.",,
142,"In working towards a more inclusive society, rapid advances in AI must address the need for accessibility. Designing tech that empowers disabled people and opens new opportunities for life in a complex digital world is essential to the vision of inclusivity. This award honours a company that works to make accessibility not the exception but the standard for future AI products.",,
143,As GenZers grow up with technology integrated into every aspect of their daily life it is key that they take part in the developments and conversations around the implications of breakthrough technology. This award recognises a teenager who is a powerful voice within the tech community and is ensuring that technology is built and deployed with GenZ in mind.,,
144,"Never before has the need for sustainable innovation been greater. We are faced with a situation that is threatening not merely our health, prosperity and ecological diversity, but our very survival as a species. What we need now is responsible and immediate leadership that will help galvanize the power of modern-day technology to solve this existential problem.",,
145,"As societies strive to move further towards gender equality, we want to highlight one company or individual that embraces female empowerment in all domains of life, acting as an example to the tech industry ",,
146,"Divided into 15 kinds:
Best AI product in Education
Best AI product in Entertainment
Best AI Product In Fashion
Best AI Product In Financial Services & FinTech
Best AI Product In Government
Best AI Product in Health
Best AI Product in HR
Best AI Product in Insurance
Best AI Product in Legal
Best AI Product In Marketing and Adtech 
Best AI Product in Next Generation Infrastructure
Best AI Product in Retail
Best AI Product in Telecom
Best AI Product In Transportation and Logistics
Best AI product in Cybersecurity
Ask me if you want to know any detail of one of them.",,
147,"As COVID-19 restrictions drive education to digital solutions more than ever. This award recognises the best product in EdTech the best product in education that fuels collaboration, individualised learning, access to education and provides support outside of the traditional classroom.",,
148,"Entertainment has the power to transport us to new worlds such as the unchartered territories of technological innovation. With this award, we wish to celebrate the best product in entertainment, ranging across sports, music, art and film.",,
149,"AI and emerging tech are constantly pushing the boundaries of creativity and design. This award celebrates the best tech product for the fashion industry, recognising the best product in fashion that helps consumers by using personalisation and recommendation tools.",,
150,"Recognising the best product in Financial Services including but not limited to the use of marketing databases, transactional and public information records to extract data (Experian); quicker decision making; detecting fraud; informing cardholders about special offers; providing investors with online business trends analysis.",,
151,"Recognising the best product in government that assists the public in its interaction with government and helps them raise their concerns through virtual assistants; redesign public sector work by reducing cost, enhancing speed and reach, focusing more resources on frontline properties.",,
152,"When AI is applied to medical care and research, lives are changed. This award goes to a product that is harnessing AI-backed solutions to take on new challenges within the health sector such as improving diagnostics, delivery and personalisation.",,
153,"Recognising the best product in HR that helps with talent acquisition, engagement with candidates, personal training recommendations and career pathing, unbiased recruitment, and more",,
154,"Recognising the best product in insurance from behavioural policy pricing, personalised data provision to pricing platforms like health and travel insurance ; automated buying experience using chatbots ; decrease likelihood of fraud in claim settlement.",,
155,"The legal system is fast adopting AI products and services into its operating models. This award recognises the best AI-backed product for the legal sector, with particular focus on those deployed to solve a problem that is unique to legal professionals such as natural language processing ; delivering concrete answer sets with links to authoritative court decisions and sources",,
156,"Targeting any audience in today＊s society requires the harnessing of technology in new and innovative ways. With this award, we are highlighting the leadership exhibited by one company that continues to redefine the future of MarTech.",,
157,"Recognising the best product that will shape tomorrow＊s infrastructure from cloud computing to software defined data centre- enhancing flexibility by pooling, aggregating and delivering the infrastructure capabilities like a software code.",,
158,"Tech has disrupted the world of retail, with opportunities opening up online and on the high street alike. This award recognises a company that is innovating within the retail industry for example through personalising shopping experiences and thereby improving sales and customer relationship by introducing reward and loyalty cards.",,
159,"As COVID-19 creates a new landscape of digital communication, innovations in connectivity are more important than ever. This award celebrates a product redefining telecom for its customers through customer service, personalisation and predictive maintenance",,
160,"As our society is changed by technology, so too are our cities. To ensure sustainable life in the city, new systems must respond to the urgent demands of our planet. This award recognises a company＊s effort to develop a sustainable transportation intervention using AI.",,
161,The world of cybersecurity is constantly changing. New threats emerge with every technological innovation posing huge challenges for organisations trying to keep up. This award recognises companies that are making strides within the security field and successfully navigating this complex area.,,
162,"Divided into 23 kinds:
Best Innovation in Algorithmic Bias Mitigation
Best Innovation In Artificial General Intelligence
Best Innovation in Autonomous Vehicles
Best Innovation In Computer Vision
Best Innovation in Creative Arts
Best Innovation in Data Protection and Privacy
Best Innovation in Deep Learning
Best Innovation in Diagnostics
Best Innovation in Explainable AI
Best innovation in Genetics / Personalised Medicine
Best Innovation in Geospatial Applications
Best Innovation In IoT and Sensors
Best Innovation In NLP
Best Innovation in Open Source Technology
Best Innovation in Pharma
Best Innovation in Quantum Computing
Best Innovation In Robotics and Automation
Best Innovation in Simulation
Best Innovation in Space
Best Innovation in Sustainable FoodTech
Best Innovation in VR/AR
Best Product In Gaming
Best Consumer Chatbot

Ask me if you want to know any details about one of them.",,
163,"The impacts of algorithmic bias are profound, and there is an urgent need to address this issue. This award recognises an organisation or individual working to mitigate machine bias, through advocacy efforts or research innovation.",,
164,"Whether you find it elusive, enticing, or unsettling, the race towards AGI is on. This award recognises the best innovation pushing the boundaries of generalisable AI, including facial recognition, mimic human handwriting and computational creativity.",,
165,"Mobility is one of the most rapidly advancing industries of our time. As automation is empowering our vehicles, we wish to celebrate one company＊s exceptional use of tech in advancing this sector and enabling us to reach entirely new levels of mobile flexibility.",,
166,"Computer vision is quickly embedding itself in our devices, apps and vehicles. This award recognises the best innovation involved in any component of computer vision including acquisition, processing or analysing images. Further examples include face recognition technology for bank card verification and security systems, facial scanning door entry, infrared binoculars scanning machines and empowering blind and partially sighted people lead their lives.",,
